;Concurso;bola_id;bola_num_sort
308;21;Bola3;4.0
309;21;Bola4;5.0
310;21;Bola5;8.0
311;21;Bola6;11.0
312;21;Bola7;14.0
313;21;Bola8;16.0
314;21;Bola9;18.0
315;22;Bola1;1.0
316;22;Bola10;12.0
317;22;Bola11;13.0
318;22;Bola12;14.0
319;22;Bola13;15.0
320;22;Bola14;22.0
321;22;Bola15;25.0
322;22;Bola2;2.0
323;22;Bola3;3.0
324;22;Bola4;4.0
325;22;Bola5;5.0
326;22;Bola6;6.0
327;22;Bola7;7.0
328;22;Bola8;9.0
329;22;Bola9;10.0
330;23;Bola1;1.0
331;23;Bola10;14.0
332;23;Bola11;16.0
333;23;Bola12;17.0
334;23;Bola13;18.0
335;23;Bola14;19.0
336;23;Bola15;20.0
337;23;Bola2;3.0
338;23;Bola3;4.0
339;23;Bola4;5.0
340;23;Bola5;6.0
341;23;Bola6;8.0
342;23;Bola7;10.0
343;23;Bola8;11.0
344;23;Bola9;12.0
345;24;Bola1;1.0
346;24;Bola10;19.0
347;24;Bola11;20.0
348;24;Bola12;21.0
349;24;Bola13;23.0
350;24;Bola14;24.0
351;24;Bola15;25.0
352;24;Bola2;2.0
353;24;Bola3;3.0
354;24;Bola4;5.0
355;24;Bola5;7.0
356;24;Bola6;10.0
357;24;Bola7;11.0
358;24;Bola8;14.0
359;24;Bola9;17.0
360;25;Bola1;1.0
361;25;Bola10;14.0
362;25;Bola11;16.0
363;25;Bola12;20.0
364;25;Bola13;22.0
365;25;Bola14;23.0
366;25;Bola15;24.0
367;25;Bola2;2.0
368;25;Bola3;3.0
369;25;Bola4;4.0
370;25;Bola5;5.0
371;25;Bola6;6.0
372;25;Bola7;7.0
373;25;Bola8;9.0
374;25;Bola9;13.0
375;26;Bola1;5.0
376;26;Bola10;17.0
377;26;Bola11;19.0
378;26;Bola12;20.0
379;26;Bola13;21.0
380;26;Bola14;22.0
381;26;Bola15;23.0
382;26;Bola2;7.0
383;26;Bola3;8.0
384;26;Bola4;9.0
385;26;Bola5;10.0
386;26;Bola6;11.0
387;26;Bola7;13.0
388;26;Bola8;14.0
389;26;Bola9;16.0
390;27;Bola1;3.0
391;27;Bola10;18.0
392;27;Bola11;20.0
393;27;Bola12;21.0
394;27;Bola13;22.0
395;27;Bola14;24.0
396;27;Bola15;25.0
397;27;Bola2;6.0
398;27;Bola3;8.0
399;27;Bola4;10.0
400;27;Bola5;11.0
401;27;Bola6;12.0
402;27;Bola7;13.0
403;27;Bola8;14.0
404;27;Bola9;15.0
405;28;Bola1;1.0
406;28;Bola10;16.0
407;28;Bola11;17.0
408;28;Bola12;18.0
409;28;Bola13;19.0
410;28;Bola14;20.0
411;28;Bola15;21.0
412;28;Bola2;3.0
413;28;Bola3;7.0
414;28;Bola4;9.0
415;28;Bola5;10.0
416;28;Bola6;11.0
417;28;Bola7;12.0
418;28;Bola8;13.0
419;28;Bola9;14.0
420;29;Bola1;1.0
421;29;Bola10;17.0
422;29;Bola11;19.0
423;29;Bola12;20.0
424;29;Bola13;21.0
425;29;Bola14;22.0
426;29;Bola15;24.0
427;29;Bola2;4.0
428;29;Bola3;5.0
429;29;Bola4;6.0
430;29;Bola5;8.0
431;29;Bola6;9.0
432;29;Bola7;13.0
433;29;Bola8;14.0
434;29;Bola9;16.0
435;30;Bola1;1.0
436;30;Bola10;17.0
437;30;Bola11;19.0
438;30;Bola12;20.0
439;30;Bola13;21.0
440;30;Bola14;22.0
441;30;Bola15;23.0
442;30;Bola2;2.0
443;30;Bola3;3.0
444;30;Bola4;4.0
445;30;Bola5;6.0
446;30;Bola6;7.0
447;30;Bola7;8.0
448;30;Bola8;11.0
449;30;Bola9;14.0
450;31;Bola1;1.0
451;31;Bola10;19.0
452;31;Bola11;20.0
453;31;Bola12;21.0
454;31;Bola13;22.0
455;31;Bola14;24.0
456;31;Bola15;25.0
457;31;Bola2;2.0
458;31;Bola3;3.0
459;31;Bola4;4.0
460;31;Bola5;9.0
461;31;Bola6;13.0
462;31;Bola7;14.0
463;31;Bola8;15.0
464;31;Bola9;17.0
465;32;Bola1;1.0
466;32;Bola10;15.0
467;32;Bola11;16.0
468;32;Bola12;17.0
469;32;Bola13;20.0
470;32;Bola14;22.0
471;32;Bola15;23.0
472;32;Bola2;2.0
473;32;Bola3;4.0
474;32;Bola4;6.0
475;32;Bola5;7.0
476;32;Bola6;9.0
477;32;Bola7;10.0
478;32;Bola8;11.0
479;32;Bola9;14.0
480;33;Bola1;1.0
481;33;Bola10;16.0
482;33;Bola11;19.0
483;33;Bola12;20.0
484;33;Bola13;21.0
485;33;Bola14;23.0
486;33;Bola15;24.0
487;33;Bola2;2.0
488;33;Bola3;5.0
489;33;Bola4;7.0
490;33;Bola5;8.0
491;33;Bola6;10.0
492;33;Bola7;11.0
493;33;Bola8;12.0
494;33;Bola9;14.0
495;34;Bola1;1.0
496;34;Bola10;16.0
497;34;Bola11;18.0
498;34;Bola12;19.0
499;34;Bola13;20.0
500;34;Bola14;21.0
501;34;Bola15;23.0
502;34;Bola2;2.0
503;34;Bola3;4.0
504;34;Bola4;7.0
505;34;Bola5;8.0
506;34;Bola6;9.0
507;34;Bola7;10.0
508;34;Bola8;11.0
509;34;Bola9;15.0
510;35;Bola1;1.0
511;35;Bola10;17.0
512;35;Bola11;19.0
513;35;Bola12;21.0
514;35;Bola13;22.0
515;35;Bola14;23.0
516;35;Bola15;25.0
517;35;Bola2;4.0
518;35;Bola3;5.0
519;35;Bola4;6.0
520;35;Bola5;11.0
521;35;Bola6;12.0
522;35;Bola7;13.0
523;35;Bola8;14.0
524;35;Bola9;16.0
525;36;Bola1;1.0
526;36;Bola10;19.0
527;36;Bola11;20.0
528;36;Bola12;21.0
529;36;Bola13;22.0
530;36;Bola14;23.0
531;36;Bola15;24.0
532;36;Bola2;4.0
533;36;Bola3;5.0
534;36;Bola4;7.0
535;36;Bola5;8.0
536;36;Bola6;10.0
537;36;Bola7;11.0
538;36;Bola8;14.0
539;36;Bola9;17.0
540;37;Bola1;1.0
541;37;Bola10;15.0
542;37;Bola11;20.0
543;37;Bola12;21.0
544;37;Bola13;22.0
545;37;Bola14;23.0
546;37;Bola15;24.0
547;37;Bola2;3.0
548;37;Bola3;4.0
549;37;Bola4;5.0
550;37;Bola5;8.0
551;37;Bola6;9.0
552;37;Bola7;10.0
553;37;Bola8;11.0
